j = 23, k = 1, y1 = 1, y2 = 0, n_min = 38, n_max = 39, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 23, k = 1, y1 = 2, y2 = 1, n_min = 38, n_max = 40, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 23, k = 0, y1 = 0, y2 = 2, n_min = 37, n_max = 39, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 24, k = 0, y1 = 0, y2 = 0, n_min = 40, n_max = 41, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 24, k = 0, y1 = 1, y2 = 1, n_min = 39, n_max = 41, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 24, k = 0, y1 = 2, y2 = 2, n_min = 39, n_max = 41, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 25, k = 2, y1 = 2, y2 = 0, n_min = 41, n_max = 43, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 25, k = 1, y1 = 0, y2 = 1, n_min = 41, n_max = 42, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 25, k = 1, y1 = 1, y2 = 2, n_min = 41, n_max = 43, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 26, k = 1, y1 = 1, y2 = 0, n_min = 43, n_max = 44, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 26, k = 1, y1 = 2, y2 = 1, n_min = 43, n_max = 45, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 26, k = 0, y1 = 0, y2 = 2, n_min = 42, n_max = 44, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 27, k = 0, y1 = 0, y2 = 0, n_min = 45, n_max = 46, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 27, k = 0, y1 = 1, y2 = 1, n_min = 44, n_max = 46, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 27, k = 0, y1 = 2, y2 = 2, n_min = 44, n_max = 46, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 28, k = 2, y1 = 2, y2 = 0, n_min = 46, n_max = 48, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 28, k = 1, y1 = 0, y2 = 1, n_min = 46, n_max = 47, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
